,_index,_id,_score,_source.@version,_source.TelemetrySource,_source.@timestamp,_source.data_stream.namespace,_source.data_stream.type,_source.data_stream.dataset,_source.Metadata.Kafka.Timestamp,_source.Metadata.Kafka.Offset,_source.Metadata.Kafka.Topic,_source.Metadata.Kafka.ConsumerGroup,_source.Metadata.Kafka.Partition,_source.Metadata.Logstash.Timestamp,_source.MessageId,_source.vcluster,_source.Sensor.Value,_source.Sensor.ParentalContext,_source.Sensor.Timestamp,_source.Sensor.Index,_source.Sensor.Location,_source.Sensor.LocationDetail.Blade,_source.Sensor.LocationDetail.Node,_source.Sensor.LocationDetail.XName,_source.Sensor.LocationDetail.Chassie,_source.Sensor.LocationDetail.Bmc,_source.Sensor.LocationDetail.Cabinet,_source.Sensor.PhysicalSubContext,_source.Sensor.PhysicalContext,_source.nid,_source.tags
0,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,WVd4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.752Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968209,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.413958391Z,CrayTelemetry.Power,daint,61.615,Chassis,2025-03-10 13:55:00.752676872,5,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,Input,VoltageRegulator,6898,"['vcluster_from_cache', 'nid_from_cache']"
1,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,XFd4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.166Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968212,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414005051Z,CrayTelemetry.Power,daint,249.903,Chassis,2025-03-10 13:55:00.166482545,3,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,Input,VoltageRegulator,6898,"['vcluster_from_cache', 'nid_from_cache']"
2,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,XVd4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.444Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968213,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414021772Z,CrayTelemetry.Power,daint,239.751,Chassis,2025-03-10 13:55:00.444617776,4,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,Input,VoltageRegulator,6898,"['vcluster_from_cache', 'nid_from_cache']"
3,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,Xld4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.747Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968214,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414034792Z,CrayTelemetry.Power,daint,84.065,,2025-03-10 13:55:00.747427374,0,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,,CPU,6898,"['vcluster_from_cache', 'nid_from_cache']"
4,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,X1d4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.747Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968215,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414051552Z,CrayTelemetry.Power,daint,79.294,,2025-03-10 13:55:00.747497051,1,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,,CPU,6898,"['vcluster_from_cache', 'nid_from_cache']"
5,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,YFd4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.747Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968216,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414064052Z,CrayTelemetry.Power,daint,71.012,,2025-03-10 13:55:00.747353618,2,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,,CPU,6898,"['vcluster_from_cache', 'nid_from_cache']"
6,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,YVd4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.750Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968217,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414079442Z,CrayTelemetry.Power,daint,70.827,,2025-03-10 13:55:00.750340909,3,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,,CPU,6898,"['vcluster_from_cache', 'nid_from_cache']"
7,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,Yld4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.785Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968218,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414091722Z,CrayTelemetry.Power,daint,125.0,,2025-03-10 13:55:00.785286364,0,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,,GPU,6898,"['vcluster_from_cache', 'nid_from_cache']"
8,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,Y1d4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.813Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968219,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414108342Z,CrayTelemetry.Power,daint,127.0,,2025-03-10 13:55:00.813813899,1,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,,GPU,6898,"['vcluster_from_cache', 'nid_from_cache']"
9,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,ZFd4gJUBMk_V_Do00Pus,1.2786129,1,nC,2025-03-10T13:55:00.842Z,alps.power,metrics,facility.telemetry,2025-03-10T13:55:03.544Z,511280968220,cray-telemetry-power-split,logstash-facility-telemetry-alps,1,2025-03-10T14:31:50.414120832Z,CrayTelemetry.Power,daint,142.0,,2025-03-10 13:55:00.842346954,2,x1304c7s4b0n0,s4,n0,x1304c7s4b0n0,c7,b0,x1304,,GPU,6898,"['vcluster_from_cache', 'nid_from_cache']"
