,_index,_id,_score,_source.tags,_source.vcluster,_source.@version,_source.MessageId,_source.@timestamp,_source.data_stream.namespace,_source.data_stream.type,_source.data_stream.dataset,_source.TelemetrySource,_source.Metadata.Kafka.Topic,_source.Metadata.Kafka.ConsumerGroup,_source.Metadata.Kafka.Partition,_source.Metadata.Kafka.Timestamp,_source.Metadata.Kafka.Offset,_source.Metadata.Logstash.Timestamp,_source.Sensor.ParentalContext,_source.Sensor.Timestamp,_source.Sensor.LocationDetail.Cabinet,_source.Sensor.LocationDetail.Node,_source.Sensor.LocationDetail.Blade,_source.Sensor.LocationDetail.Bmc,_source.Sensor.LocationDetail.XName,_source.Sensor.LocationDetail.Chassie,_source.Sensor.Value,_source.Sensor.Index,_source.Sensor.Location,_source.Sensor.PhysicalSubContext,_source.Sensor.PhysicalContext,_source.nid
0,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,LYR0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.180Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947956,2025-03-10T14:27:21.940054448Z,Chassis,2025-03-10T13:54:03.180357528Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,249.812,3,x1304c7s4b0n0,Input,VoltageRegulator,6898
1,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,LoR0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.410Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947957,2025-03-10T14:27:21.940070408Z,Chassis,2025-03-10T13:54:03.410474197Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,239.117,4,x1304c7s4b0n0,Input,VoltageRegulator,6898
2,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,L4R0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.665Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947958,2025-03-10T14:27:21.940082578Z,,2025-03-10T13:54:03.665859524Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,84.497,0,x1304c7s4b0n0,,CPU,6898
3,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,MIR0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.660Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947959,2025-03-10T14:27:21.940094769Z,,2025-03-10T13:54:03.660740099Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,79.411,1,x1304c7s4b0n0,,CPU,6898
4,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,MYR0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.665Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947960,2025-03-10T14:27:21.940110289Z,,2025-03-10T13:54:03.665067483Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,71.623,2,x1304c7s4b0n0,,CPU,6898
5,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,MoR0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.665Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947961,2025-03-10T14:27:21.940124129Z,,2025-03-10T13:54:03.665936800Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,70.027,3,x1304c7s4b0n0,,CPU,6898
6,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,M4R0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.659Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947962,2025-03-10T14:27:21.940138879Z,,2025-03-10T13:54:03.659536080Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,125.0,0,x1304c7s4b0n0,,GPU,6898
7,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,NIR0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.681Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947963,2025-03-10T14:27:21.940151429Z,,2025-03-10T13:54:03.681648815Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,127.0,1,x1304c7s4b0n0,,GPU,6898
8,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,NYR0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.696Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947964,2025-03-10T14:27:21.940163599Z,,2025-03-10T13:54:03.696563511Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,142.0,2,x1304c7s4b0n0,,GPU,6898
9,.ds-metrics-facility.telemetry-alps.power-2025.03.10-004592,NoR0gJUBWebYrL4evsj0,1.2786129,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Power,2025-03-10T13:54:03.711Z,alps.power,metrics,facility.telemetry,nC,cray-telemetry-power-split,logstash-facility-telemetry-alps,8,2025-03-10T13:54:08.041Z,151090947965,2025-03-10T14:27:21.940178989Z,,2025-03-10T13:54:03.711457007Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,136.0,3,x1304c7s4b0n0,,GPU,6898
