,_index,_id,_score,_source.MessageId,_source.Sensor.Location,_source.Sensor.Value,_source.Sensor.PhysicalContext,_source.Sensor.ParentalContext,_source.Sensor.Index,_source.Sensor.LocationDetail.Blade,_source.Sensor.LocationDetail.Cabinet,_source.Sensor.LocationDetail.Node,_source.Sensor.LocationDetail.Chassie,_source.Sensor.LocationDetail.Bmc,_source.Sensor.LocationDetail.XName,_source.Sensor.Timestamp,_source.@version,_source.tags,_source.TelemetrySource,_source.Metadata.Kafka.ConsumerGroup,_source.Metadata.Kafka.Partition,_source.Metadata.Kafka.Topic,_source.Metadata.Kafka.Offset,_source.Metadata.Kafka.Timestamp,_source.Metadata.Logstash.Timestamp,_source.@timestamp,_source.vcluster,_source.data_stream.namespace,_source.data_stream.type,_source.data_stream.dataset,_source.nid
0,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,H45igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,39.0,VoltageRegulator,Chassis,0,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:56.750638027,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394042,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527442114Z,2025-03-10T13:58:56.750Z,daint,alps.temperature,metrics,facility.telemetry,6898
1,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,II5igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,38.0,VoltageRegulator,Chassis,6,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:56.435949341,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394043,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527452244Z,2025-03-10T13:58:56.435Z,daint,alps.temperature,metrics,facility.telemetry,6898
2,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,IY5igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,38.375,CPU,,0,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:56.743373270,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394044,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527462294Z,2025-03-10T13:58:56.743Z,daint,alps.temperature,metrics,facility.telemetry,6898
3,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,Io5igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,43.062,CPU,,1,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:56.745953381,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394045,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527472224Z,2025-03-10T13:58:56.745Z,daint,alps.temperature,metrics,facility.telemetry,6898
4,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,I45igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,43.812,CPU,,2,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:56.742719783,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394046,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527485354Z,2025-03-10T13:58:56.742Z,daint,alps.temperature,metrics,facility.telemetry,6898
5,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,JI5igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,36.937,CPU,,3,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:56.745871385,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394047,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527495824Z,2025-03-10T13:58:56.745Z,daint,alps.temperature,metrics,facility.telemetry,6898
6,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,JY5igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,25.0,GPU,,0,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:56.849330619,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394048,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527505844Z,2025-03-10T13:58:56.849Z,daint,alps.temperature,metrics,facility.telemetry,6898
7,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,Jo5igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,27.0,GPU,,1,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:56.864303551,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394049,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527515564Z,2025-03-10T13:58:56.864Z,daint,alps.temperature,metrics,facility.telemetry,6898
8,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,J45igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,27.0,GPU,,2,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:55.834069157,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394050,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527525344Z,2025-03-10T13:58:55.834Z,daint,alps.temperature,metrics,facility.telemetry,6898
9,.ds-metrics-facility.telemetry-alps.temperature-2025.03.10-006372,KI5igJUBPiNEg2qPTQTy,1.0,CrayTelemetry.Temperature,x1304c7s4b0n0,25.0,GPU,,3,s4,x1304,n0,c7,b0,x1304c7s4b0n0,2025-03-10 13:58:55.849182482,1,"['vcluster_from_cache', 'nid_from_cache']",nC,logstash-facility-telemetry-alps,6,cray-telemetry-temperature-split,103622394051,2025-03-10T13:59:00.237Z,2025-03-10T14:07:23.527535144Z,2025-03-10T13:58:55.849Z,daint,alps.temperature,metrics,facility.telemetry,6898
