,_index,_id,_score,_source.tags,_source.vcluster,_source.@version,_source.MessageId,_source.@timestamp,_source.data_stream.namespace,_source.data_stream.type,_source.data_stream.dataset,_source.TelemetrySource,_source.Metadata.Kafka.Topic,_source.Metadata.Kafka.ConsumerGroup,_source.Metadata.Kafka.Partition,_source.Metadata.Kafka.Timestamp,_source.Metadata.Kafka.Offset,_source.Metadata.Logstash.Timestamp,_source.Sensor.ParentalContext,_source.Sensor.Timestamp,_source.Sensor.LocationDetail.Cabinet,_source.Sensor.LocationDetail.Node,_source.Sensor.LocationDetail.Blade,_source.Sensor.LocationDetail.Bmc,_source.Sensor.LocationDetail.XName,_source.Sensor.LocationDetail.Chassie,_source.Sensor.Value,_source.Sensor.Index,_source.Sensor.Location,_source.Sensor.PhysicalSubContext,_source.Sensor.PhysicalContext,_source.nid
0,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,UGPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:23.347Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511605,2025-03-10T15:52:17.845588478Z,Chassis,2025-03-10T13:56:23.347884516Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.19,0,x1304c7s4b0n0,Output,VoltageRegulator,6898
1,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,UWPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:23.635Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511606,2025-03-10T15:52:17.845598458Z,Chassis,2025-03-10T13:56:23.635969970Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,380.2,0,x1304c7s4b0n0,Input,VoltageRegulator,6898
2,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,UmPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.029Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511607,2025-03-10T15:52:17.845608488Z,Chassis,2025-03-10T13:56:24.029757586Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.125,6,x1304c7s4b0n0,Input,VoltageRegulator,6898
3,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,U2PCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.112Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511608,2025-03-10T15:52:17.845618398Z,Chassis,2025-03-10T13:56:24.112752241Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,11.828,6,x1304c7s4b0n0,Output,VoltageRegulator,6898
4,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,VmPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.802Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511621,2025-03-10T15:52:17.845745029Z,Chassis,2025-03-10T13:56:24.802145575Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,381.4,0,x1304c7s4b0n0,Input,VoltageRegulator,6898
5,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,V2PCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:25.231Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511622,2025-03-10T15:52:17.845754479Z,Chassis,2025-03-10T13:56:25.231958992Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.062,6,x1304c7s4b0n0,Input,VoltageRegulator,6898
6,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,WGPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:25.303Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511623,2025-03-10T15:52:17.845763779Z,Chassis,2025-03-10T13:56:25.303092080Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,11.773,6,x1304c7s4b0n0,Output,VoltageRegulator,6898
7,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,ZGPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:26.320Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511651,2025-03-10T15:52:17.846041582Z,Chassis,2025-03-10T13:56:26.320135933Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.062,6,x1304c7s4b0n0,Input,VoltageRegulator,6898
8,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,ZWPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:26.405Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511652,2025-03-10T15:52:17.846051102Z,Chassis,2025-03-10T13:56:26.405158487Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,11.754,6,x1304c7s4b0n0,Output,VoltageRegulator,6898
9,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,ZmPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:26.790Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511653,2025-03-10T15:52:17.846060852Z,Chassis,2025-03-10T13:56:26.790855387Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.48,0,x1304c7s4b0n0,Output,VoltageRegulator,6898
10,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,Z2PCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:27.059Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511654,2025-03-10T15:52:17.846070372Z,Chassis,2025-03-10T13:56:27.059049834Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,381.4,0,x1304c7s4b0n0,Input,VoltageRegulator,6898
11,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,aGPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:27.433Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511655,2025-03-10T15:52:17.846079812Z,Chassis,2025-03-10T13:56:27.433466817Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.188,6,x1304c7s4b0n0,Input,VoltageRegulator,6898
12,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,aWPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:27.501Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511656,2025-03-10T15:52:17.846089502Z,Chassis,2025-03-10T13:56:27.501651092Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,11.746,6,x1304c7s4b0n0,Output,VoltageRegulator,6898
13,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,VGPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.110Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511609,2025-03-10T15:52:17.845627828Z,Chassis,2025-03-10T13:56:24.110568430Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.411,4,x1304c7s4b0n0,Output,VoltageRegulator,6898
14,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,VWPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.487Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511620,2025-03-10T15:52:17.845735389Z,Chassis,2025-03-10T13:56:24.487217302Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.48,0,x1304c7s4b0n0,Output,VoltageRegulator,6898
15,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,WWPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.356Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511624,2025-03-10T15:52:17.845778170Z,Chassis,2025-03-10T13:56:24.356914369Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.325,5,x1304c7s4b0n0,Input,VoltageRegulator,6898
16,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,WmPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.367Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511625,2025-03-10T15:52:17.845788420Z,Chassis,2025-03-10T13:56:24.367063382Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.39,5,x1304c7s4b0n0,Output,VoltageRegulator,6898
17,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,W2PCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.499Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511626,2025-03-10T15:52:17.845798570Z,Chassis,2025-03-10T13:56:24.499432212Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.411,1,x1304c7s4b0n0,Input,VoltageRegulator,6898
18,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,XGPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.687Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511627,2025-03-10T15:52:17.845808460Z,Chassis,2025-03-10T13:56:24.687054763Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,47.132,1,x1304c7s4b0n0,Output,VoltageRegulator,6898
19,.ds-metrics-facility.telemetry-alps.voltage-2025.03.10-004433,XWPCgJUBX8z-mIiIYw7E,1.0,"['vcluster_from_cache', 'nid_from_cache']",daint,1,CrayTelemetry.Voltage,2025-03-10T13:56:24.813Z,alps.voltage,metrics,facility.telemetry,nC,cray-telemetry-voltage-split,logstash-facility-telemetry-alps,8,2025-03-10T14:16:12.123Z,123548511628,2025-03-10T15:52:17.845818040Z,Chassis,2025-03-10T13:56:24.813591964Z,x1304,n0,s4,b0,x1304c7s4b0n0,c7,46.982,2,x1304c7s4b0n0,Input,VoltageRegulator,6898
